"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Abs at work","5 Feb 2026, 15:01","5 Feb 2026, 15:09","","Side Plank",,"",0,"normal",,,,20,
"Abs at work","5 Feb 2026, 15:01","5 Feb 2026, 15:09","","Side Plank",,"",1,"normal",,,,20,
"Abs at work","5 Feb 2026, 15:01","5 Feb 2026, 15:09","","Side Plank",,"",2,"normal",,,,20,
"Abs at work","5 Feb 2026, 15:01","5 Feb 2026, 15:09","","Russian Twist (Bodyweight)",,"",0,"normal",,10,,,
"Abs at work","5 Feb 2026, 15:01","5 Feb 2026, 15:09","","Russian Twist (Bodyweight)",,"",1,"normal",,10,,,
"Abs at work","5 Feb 2026, 15:01","5 Feb 2026, 15:09","","Russian Twist (Bodyweight)",,"",2,"normal",,10,,,
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Face Pull",,"",0,"normal",45,10,,,6
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Face Pull",,"",1,"normal",45,10,,,6
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Face Pull",,"",2,"normal",45,10,,,6
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Bench Press (Barbell)",,"",0,"normal",45,3,,,7
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Bench Press (Barbell)",,"",1,"normal",45,3,,,7.5
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Bench Press (Barbell)",,"",2,"normal",45,3,,,7.5
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Bench Press (Barbell)",,"",3,"normal",45,3,,,7.5
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Bench Press (Barbell)",,"",4,"normal",45,7,,,8
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Overhead Press (Barbell)",,"",0,"normal",23,10,,,7
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Overhead Press (Barbell)",,"",1,"normal",23,10,,,8
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Overhead Press (Barbell)",,"",2,"normal",23,10,,,8
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Lat Pulldown (Cable)",,"",0,"normal",40,10,,,
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Lat Pulldown (Cable)",,"",1,"normal",40,10,,,6
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Lat Pulldown (Cable)",,"",2,"normal",40,10,,,6
"Day B – Bench Press","3 Feb 2026, 17:34","3 Feb 2026, 18:41","Ihan hyvä perustreeni.","Overhead Triceps Extension (Cable)",0,"",0,"normal",10,15,,,6
